,date,username,content
0,2022-05-06 15:49:58+00:00,strinxq,jarjit gak ngadu jembut sm ayah bunda ? 🥺☝🏻
1,2022-05-06 15:48:19+00:00,KARNOTO98418022,@DS_yantie Ya elah tuh jembut ya nempel di Janggut ..alamak...
2,2022-05-06 15:47:44+00:00,marimaskatesss,"Tan tin tan tin matamui, jembut. https://t.co/47W4i3EFDi"
3,2022-05-06 15:39:07+00:00,zzvxxz,@insongnia jembut
4,2022-05-06 15:38:19+00:00,insongnia,kenapa ayah gue kalo jembut pasti lamaa banget mana dia yang marah marah anying
5,2022-05-06 15:30:06+00:00,LanangJagad31,@Cintada16 Wan jembut cuma gunting pita...
6,2022-05-06 15:29:53+00:00,Beelial2,@haaann_____ Buluu jembut aja udaa kebagusann buat diaa
7,2022-05-06 15:21:20+00:00,Yumamme,@AnggaNaufall jembut
8,2022-05-06 15:18:33+00:00,ini_akun_gua,"@kentakiiiiiiii @markahdaftar jembut, sok tau lu"
9,2022-05-06 15:15:46+00:00,Wilkyputra,"@devaandraf Cok iki opo cok, koyok jembut jambu"
10,2022-05-06 15:07:56+00:00,rahmaayukii,"Lah jembut, pengen rawonnn 😩"
11,2022-05-06 15:05:32+00:00,itsnotkaiexo,@adamantane_ Tar ku jembut di cileunyi nyaa
12,2022-05-06 15:05:26+00:00,mantanbadutmu,"@saoirsenao Most satisfying, u don't know Jancok and jembut then"
13,2022-05-06 15:01:26+00:00,Muslimin_NKRI,"@CNNIndonesia Wah bisa bikin anjing2 🐕🐕🐕 eh buzzer istana kelabakan kebakaran jembut pantat nih 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣
Lucunya istana bersaing dengan gubernur ,gak aple to apple 
Satunya kaisar (meski boneka ) satunya raja kecil di provinsi 😁😁😁"
14,2022-05-06 14:59:47+00:00,Buzzer_NKRIsaja,@Rusman_Sumbayak Wan Jembut yg diundang juga orang2 yg kelebihan jembut 😂😂😂
15,2022-05-06 14:48:30+00:00,vltchz,@tubbirfess Anjing kontol memek jembut asu kabeh jancok bajingan tenan kon
16,2022-05-06 14:47:39+00:00,ardiprtm19,ngentot jembut babi monyet
17,2022-05-06 14:47:14+00:00,ohhaewonj,"JEMBUT MEMEK LO GILANG, TYSM https://t.co/jzdqtxFkIY"
18,2022-05-06 14:47:13+00:00,wildrose2705,"Jembut, move on jalur ilfeel"
19,2022-05-06 14:45:48+00:00,MglDenny,@DimaseLagie Crooooott.. Congor wan jembut gombal https://t.co/dgkY2l1RAC
20,2022-05-06 14:45:40+00:00,portnografi,"anjg temen gua dikatain jelek, eh bangsat jdi cantik tuh mahal butuh proses lu enk bgt ngatain orng kek gitu. gua sumpahin bool lo korengan, tete lu numbuh jembut mampusss"
21,2022-05-06 14:42:02+00:00,coffebit,@thiranosauruss Lagi apa admin jembut nongko
22,2022-05-06 14:41:06+00:00,usermahaI,@feicgn Iyh masa jembut
23,2022-05-06 14:37:40+00:00,Neordinary,@seven_hours_ Ke jembut bil
24,2022-05-06 14:35:07+00:00,JembutLurus_,"aku masih baru dalam hubungan
dan semoga hubungan ku dengan nya langeng sampai
di antara kami mutusin nikah sama cew
aku sendiri terlalu overthink https://t.co/k5xorT2tQU"
25,2022-05-06 14:34:31+00:00,random0fpastel,@monkeyjaksel jembut
26,2022-05-06 14:32:49+00:00,hailkens,"Nom noman jembut, nyusahi panitia 🥱 https://t.co/S619COdXLp"
27,2022-05-06 14:30:25+00:00,hoossytutu,do i need to take my chill pill or do i have to jambak her motherfucking jembut then rip her ass off
28,2022-05-06 14:24:47+00:00,mawar_be,@alter18base Apa gak gatel itu jembut?
29,2022-05-06 14:20:33+00:00,paskah_t,"@naufalken0 Jembut kecelup santen, 
Menawi lepat nyuwun pangapunten 🙏"
30,2022-05-06 14:19:57+00:00,paskah_t,@Delabrilliano @BillieArnaldo Jembut kecelup santen sek kene 🥰
31,2022-05-06 14:17:33+00:00,kezpcy,@mayapark_ @loeyluvv @dy00ngie ANJG GUA GA SEPARAH EMIL BILANG JEMBUT 🙊
32,2022-05-06 14:17:28+00:00,SalepBool,"@Lowanglecorner Semoga ekonomi UMKM bisa terus membaik, harapannya ga ada lagi pandemi susulan

#lowanglecorner #Giveaway"
33,2022-05-06 14:10:56+00:00,riddicullusz,"@LUNERPW Serlok, gue jembut eh jemput"
34,2022-05-06 14:06:04+00:00,EsterSusiani2,@MARSUDI__ @KompasTV Jembut rontok.. marsudi
35,2022-05-06 14:05:24+00:00,zaaenaall,@reymoone jembut
36,2022-05-06 14:03:51+00:00,JembutLurus_,@ultramilk200ml coba dia iseng tidur bareng terus meluk sambil gesek2
37,2022-05-06 14:03:19+00:00,BayuNKRI,@Sobat_Anies Ya mau maju nyapres ga masalah.... yang penting PT 20%.... bisa dapet... gitu aja kok repot... dasar jembut rontok....
